年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2018,主管及監督人員,教育業,"4,159","49,615","44,370","5,245"
2018,高階主管(總經理及總執行長),教育業,58,"150,738","147,864","2,874"
2018,中階主管(經理),教育業,460,"81,743","70,401","11,342"
2018,監督人員(含現場及辦公室主任、科/股長),教育業,"3,641","43,946","39,433","4,513"
2018,專業人員,教育業,"37,120","24,224","23,503",721
2018,平面及多媒體設計師,教育業,… ,… ,… ,… 
2018,補教業教師,教育業,"36,694","24,094","23,374",720
2018,稽核人員,教育業,… ,… ,… ,… 
2018,人力資源管理師,教育業,… ,… ,… ,… 
2018,廣告及行銷專業人員(含企劃),教育業,289,"31,650","30,769",881
2018,公關專業人員,教育業,43,"34,140","34,140",— 
2018,資訊系統分析及設計師,教育業,10,"46,633","46,231",402
2018,軟體開發及程式設計師,教育業,… ,… ,… ,… 
2018,資料庫及網路專業人員,教育業,… ,… ,… ,… 
2018,翻譯人員,教育業,8,"40,553","40,553",— 
2018,技術員及助理專業人員,教育業,"1,050","34,256","34,233",23
2018,會計人員,教育業,95,"42,280","42,026",254
2018,工商業銷售代表(含業務員),教育業,856,"33,847","33,847",— 
2018,採購員,教育業,… ,… ,… ,… 
2018,專業秘書,教育業,… ,… ,… ,… 
2018,資訊管理及維護技術員,教育業,91,"29,171","29,171",— 
2018,廣播及視聽技術員(含放映員),教育業,… ,… ,… ,… 
2018,事務支援人員,教育業,"26,142","24,052","23,231",821
2018,總務,教育業,921,"25,451","25,451",— 
2018,一般辦公室事務人員(含文書),教育業,"7,048","24,075","23,849",226
2018,資料輸入人員,教育業,272,"17,947","17,947",— 
2018,接待員及服務台事務人員,教育業,"4,693","25,738","24,238","1,500"
2018,總機人員,教育業,138,"16,682","16,682",— 
2018,電話及網路客服人員,教育業,341,"16,143","16,143",— 
2018,會計助理、簿記、出納,教育業,764,"24,765","24,448",317
2018,存貨事務人員,教育業,77,"25,522","25,522",— 
2018,人事事務人員,教育業,412,"35,070","24,886","10,184"
2018,教務人員(含班導師、輔導員),教育業,"11,476","23,252","22,520",732
2018,服務及銷售工作人員,教育業,274,"21,821","21,770",51
2018,廚師,教育業,… ,… ,… ,… 
2018,電話及網路行銷人員,教育業,252,"21,100","21,100",— 
2018,兒童照顧人員(含保母),教育業,… ,… ,… ,… 
2018,建築物管理員、保全及警衛人員,教育業,… ,… ,… ,… 
2018,技藝、機械設備操作及組裝人員,教育業,525,"21,845","21,066",779
2018,車輛維修人員(含自行車、機車、汽車、火車),教育業,… ,… ,… ,… 
2018,美編及印刷前置工作人員,教育業,138,"23,158","20,195","2,963"
2018,小客、貨車駕駛人員,教育業,385,"21,317","21,317",— 
2018,基層技術工及勞力工,教育業,875,"14,268","14,268",— 
2018,清潔及家事工作人員(含建築清潔工),教育業,814,"14,172","14,172",— 
2018,勞力工,教育業,… ,… ,… ,… 
2018,廚房幫工(含速食烹調),教育業,… ,… ,… ,… 
