"幣別	按美元計算/ <b>總計</b>	按美元計算/ 動物產品	按美元計算/ 2.植物產品	按美元計算/ (1)食用蔬菜	按美元計算/ (2)食用果實及堅果	按美元計算/ 3.動植物油脂	按美元計算/ (1)調製食品	按美元計算/ (3)菸及菸葉代用品	按美元計算/ (1)有機化學品	按美元計算/ 7.塑膠、橡膠及其製品	按美元計算/ (1)塑膠原料	按美元計算/ (2)塑膠製品	按美元計算/ 8.毛皮及其製品	按美元計算/ 9.木及木製品	按美元計算/ 紙及其製品；印刷品	按美元計算/ 11.紡織品	按美元計算/ 13.非金屬礦物製品	按美元計算/ 14.珠寶及貴金屬製品	按美元計算/ 15.基本金屬及其製品	按美元計算/ (1)鋼鐵及其製品	按美元計算/ (2)其他基本金屬及其製品	按美元計算/ (1)電子零組件	按美元計算/ (2)機械	按美元計算/ (4)資通與視聽產品",,,,,,,,,,,,,,,,,
"90年 1月	""10","064.66""	83.655	16.356	4.764	1.771	2.185	25.823	0.451	123.506	579.147	241.137	264.596	65.17	25.386	59.588	893.818	80.888	13.563	988.908	604.905	384.002	""2","020.55""	847.922	""2","195.44""",,,,,,,,,,,,,,
"90年 2月	""10","389.16""	74.833	19.933	6.643	0.983	2.579	25.194	0.32	118.59	692.113	341.029	270.432	65.123	24.817	75.777	928.074	78.362	8.552	923.307	571.59	351.717	""2","026.13""	766.976	""2","533.52""",,,,,,,,,,,,,,
"90年 3月	""12","003.92""	88.746	24.503	9.329	1.844	2.309	33.871	0.446	133.077	739.888	316.574	330.479	95.966	30.46	90.731	""1","166.75""	82.938	16.146	""1","025.17""	606.369	418.803	""2","017.36""	923.267	""3","169.03""",,,,,,,,,,,,
"90年 4月	""11","152.06""	116.825	26.718	9.618	3.193	2.727	37.258	0.439	131.943	713.572	310.293	306.888	109.88	30.306	84.834	""1","194.12""	78.376	9.159	""1","008.75""	624.393	384.355	""1","750.07""	936.279	""2","649.07""",,,,,,,,,,,,
"90年 5月	""10","406.65""	108.741	31.924	9.501	7.044	2.425	35.182	1.027	141.115	686.75	298.957	296.003	101.873	28.251	85.358	""1","195.07""	72.784	10.128	958.43	582.491	375.939	""1","633.43""	843.529	""2","391.57""",,,,,,,,,,,,,
"90年 6月	""10","609.01""	98.088	28.088	7.186	6.187	2.52	42.392	0.518	148.242	679.312	291.344	296.284	101.24	28.55	85.099	""1","200.00""	72	13.932	933.755	566.332	367.423	""1","609.71""	827.009	""2","639.66""",,,,,,,,,,,,,
"90年 7月	""10","023.78""	88.428	29.529	7.757	4.634	2.807	34.974	0.284	126.848	655.643	287.312	280.054	84.361	27.104	78.674	""1","082.73""	67.707	12.594	915.298	557.312	357.985	""1","496.56""	821.921	""2","513.22""",,,,,,,,,,,,,
"90年 8月	""9","773.22""	101.399	18.638	7.036	0.69	2.651	28.782	0.179	121.395	692.842	326.308	281.314	73.713	29.127	77.203	""1","065.23""	75.749	15.168	925.31	552.774	372.535	""1","498.34""	784.625	""2","261.32""",,,,,,,,,,,,,
"90年 9月	""9","138.49""	102.743	19.025	3.79	0.875	2.586	24.117	0.18	123.087	606.912	274.762	250.874	71.522	24.281	68.279	910.76	66.155	11.931	862.076	527.069	335.007	""1","544.07""	726.788	""2","146.96""",,,,,,,,,,,,,,
"90年 10月	""11","862.55""	99.89	20.147	2.756	0.986	3.16	33.485	0.188	153.768	743.532	325.149	322.696	79.538	31.791	86.115	""1","149.20""	83.468	14.319	""1","047.75""	618.785	428.961	""1","903.27""	939.483	""3","125.50""",,,,,,,,,,,,
