國民所得統計常用資料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"期中
人口",平均匯率,"經濟
成長","名目國內生產
毛額(GDP)",,,,"名目國民所得
毛額(GNI)",,,,"名目國民所得
(NI)",,,,,,,,,,,,,,,,,,,,,
,,,,,,"平均每人
GDP",,,,"平均每人
GNI",,,,"平均每人
所　得",,,,,,,,,,,,,,,,,,,
,人,元/美元,％,百萬元,百萬美元,元,美元,百萬元,百萬美元,元,美元,百萬元,百萬美元,元,美元,,,,,,,,,,,,,,,,,,
40年,"7,758,202",10.30,－,"12,327","1,197","1,589",154,"12,320","1,196","1,588",154,"12,276","1,192","1,582",154,,,,,,,,,,,,,,,,,,
41年,"8,046,915",10.30,12.00,"17,275","1,677","2,147",208,"17,271","1,677","2,146",208,"17,119","1,662","2,127",207,,,,,,,,,,,,,,,,,,
42年,"8,333,009",15.55,9.49,"23,036","1,481","2,764",178,"23,032","1,481","2,764",178,"22,712","1,461","2,726",175,,,,,,,,,,,,,,,,,,
43年,"8,645,264",15.55,9.64,"25,315","1,628","2,928",188,"25,311","1,628","2,928",188,"24,759","1,592","2,864",184,,,,,,,,,,,,,,,,,,
44年,"8,967,001",15.55,7.72,"30,163","1,940","3,364",216,"30,160","1,940","3,363",216,"29,326","1,886","3,270",210,,,,,,,,,,,,,,,,,,
45年,"9,289,545",24.78,6.17,"34,672","1,399","3,732",151,"34,665","1,399","3,732",151,"33,546","1,354","3,611",146,,,,,,,,,,,,,,,,,,
46年,"9,597,690",24.78,7.81,"40,549","1,636","4,225",170,"40,494","1,634","4,219",170,"38,965","1,572","4,060",164,,,,,,,,,,,,,,,,,,
47年,"9,920,227",24.78,7.68,"45,498","1,836","4,586",185,"45,317","1,829","4,568",184,"43,409","1,752","4,376",177,,,,,,,,,,,,,,,,,,
48年,"10,288,327",36.38,8.81,"52,526","1,444","5,105",140,"52,370","1,440","5,090",140,"49,984","1,374","4,858",134,,,,,,,,,,,,,,,,,,
49年,"10,667,705",36.38,7.20,"63,398","1,743","5,943",163,"63,371","1,742","5,940",163,"60,483","1,663","5,670",156,,,,,,,,,,,,,,,,,,
50年,"11,030,385",40.00,7.05,"71,128","1,778","6,448",161,"71,045","1,776","6,441",161,"67,549","1,689","6,124",153,,,,,,,,,,,,,,,,,,
  Ⅰ,"10,895,610",40.00,－,"17,545",439,"1,610",40,"17,524",438,"1,609",40,－,－,－,－,,,,,,,,,,,,,,,,,,
